"nlogLik" "AICc" "AIC" "RMSE.CV" "Conv_rate_CV" "jit"
"1" -2563.92 -5099.63 -5099.82 1.261060117 14 0
"2" -4151.25 -7890.6 -7912.53 1.038741978 12 5.328
"3" -3888.43 -7395.93 -7414.87 0.979849037 14 0.455
"4" -4099.38 -7817.85 -7836.76 1.077056978 12.9 0.89
"5" -3846.17 -7311.41 -7330.33 1.097874468 13.8 0.446
"6" -3345.55 -6340.97 -6357.11 2.486436401 13.9 0.584
"7" -3046.74 -5743.3 -5759.43 1.157410379 13.7 5.481
"8" -3345.72 -6341.32 -6357.48 1.1302939 13.6 0.083
"9" -4289.1 -8135.02 -8160.24 1.037849862 8.5 24.702
"10" -4026.79 -7641.64 -7663.6 0.978850665 10.4 6.83
"11" -4241.77 -8071.64 -8093.57 1.072555229 10.1 13.338
"12" -3984.4 -7556.85 -7578.79 1.099062663 10.5 10.134
"13" -3477.19 -6573.5 -6592.43 2.499402864 10.7 7.642
"14" -3170.63 -5960.33 -5979.26 1.167798227 10 11.182
"15" -3469.75 -6558.58 -6577.53 1.158843125 8.7 3.368
"16" -4244.7 -8046.18 -8071.38 1.289763633 12.6 0.422
"17" -4258.45 -8042.21 -8070.91 1.239071766 13.6 3.99
"18" -4462.34 -8449.99 -8478.7 1.222785079 14 8.3
"19" -4394.05 -8313.42 -8342.13 1.273186263 14 21.91
"20" -4293.08 -8111.48 -8140.17 1.283579287 13.5 10.592
"21" -4287.23 -8131.27 -8156.44 1.16349436 13.9 0.001
"22" -4337.47 -8231.72 -8256.91 1.247703777 13.8 8.157
"23" -9696.63 -18981.31 -19003.25 1.249653869 13.6 0.003
